Genes;samples;counts;condition
APLN;DM1_14;3,91144367089722e+01;DM1
APLN;DM1_29;7,20626941392044e+01;DM1
APLN;DM1_42;2,76654386434807e+01;DM1
APLN;Ctrl_B10;8,18336368187095e+01;Ctrl
APLN;Ctrl_B6;2,01674821015621e+02;Ctrl
APLN;DM1_56;1,66660627003682e+02;DM1
APLN;Ctrl_B11;1,64420812679530e+02;Ctrl
APLN;DM1_28;6,18472739624587e+01;DM1
APLN;Ctrl_B5;7,28865258936281e+01;Ctrl
APLN;DM1_55;6,11540226642335e+01;DM1
APLN;Ctrl_B1;2,91306177420991e+02;Ctrl
APLN;DM1_16;9,30977870781776e+01;DM1
APLN;DM1_38;7,01346851954291e+01;DM1
APLN;Ctrl_B9;6,62471424958344e+01;Ctrl
APLN;Ctrl_B3;2,24542192528706e+02;Ctrl
APLN;Ctrl_B4;8,16645518574893e+01;Ctrl
APLN;Ctrl_B7;8,62088197563457e+01;Ctrl
APLN;DM1_19;2,75081179541119e+01;DM1
APLN;DM1_35;2,60452139599793e+01;DM1
APLN;DM1_43;1,46729167885455e+01;DM1
APLN;DM1_18;1,66062585979849e+01;DM1
APLN;DM1_44;5,05232625819840e+01;DM1
APLN;DM1_15;3,44335482419213e+01;DM1
APLN;DM1_50;3,77519575463295e+01;DM1
APLN;DM1_32;2,00198597081184e+01;DM1
APLN;DM1_37;3,07245175157958e+01;DM1
APLN;DM1_13;6,03196334107272e+01;DM1
APLN;DM1_21;7,41620636189222e+01;DM1
APLN;DM1_48;1,96521945124771e+01;DM1
APLN;DM1_40;3,24676503619108e+01;DM1
APLN;DM1_54;2,81734174381142e+01;DM1
APLN;DM1_46;4,02867385615390e+01;DM1
APLN;DM1_51;2,33404373420755e+01;DM1
APLN;DM1_31;3,27181667321544e+01;DM1
APLN;DM1_47;4,42273768789627e+01;DM1
APLN;DM1_23;4,05417446793300e+01;DM1
APLN;DM1_24;4,74931393830889e+01;DM1
APLN;DM1_27;4,55318340448229e+01;DM1
IRX6;DM1_41;2,49888461082179e+01;DM1
IRX6;DM1_36;2,29617532685367e+01;DM1
IRX6;DM1_53;3,89275850732523e+01;DM1
IRX6;DM1_45;4,77207467588687e+01;DM1
IRX6;DM1_17;3,11900658427564e+00;DM1
IRX6;DM1_22;3,10861702160254e+01;DM1
IRX6;DM1_39;3,22063408940802e+01;DM1
IRX6;DM1_34;5,19024189709294e+01;DM1
IRX6;DM1_25;1,98080916007282e+01;DM1
IRX6;DM1_33;1,43288988512165e+01;DM1
IRX6;DM1_26;4,42534274357073e+01;DM1
IRX6;DM1_30;4,01311973917756e+01;DM1
IRX6;DM1_52;2,74917179658850e+01;DM1
IRX6;Ctrl_B2;9,03595454378386e+01;Ctrl
IRX6;Ctrl_B8;8,41839017199745e+01;Ctrl
IRX6;DM1_20;5,70399896145307e+01;DM1
IRX6;DM1_14;2,84907625411032e+01;DM1
IRX6;DM1_29;1,11369618215134e+02;DM1
IRX6;DM1_42;5,53308772869614e+01;DM1
IRX6;Ctrl_B10;1,19243299364405e+02;Ctrl
IRX6;Ctrl_B6;1,45205871131247e+02;Ctrl
IRX6;DM1_56;1,08243500012701e+02;DM1
IRX6;Ctrl_B11;1,29187781391060e+02;Ctrl
IRX6;DM1_28;5,38669805479479e+01;DM1
IRX6;Ctrl_B5;1,36097849235005e+02;Ctrl
IRX6;DM1_55;8,89513056934306e+01;DM1
IRX6;Ctrl_B1;1,00226630350291e+02;Ctrl
IRX6;DM1_16;3,16724430265965e+01;DM1
IRX6;DM1_38;1,22735699092001e+02;DM1
IRX6;Ctrl_B9;2,42275263984766e+02;Ctrl
IRX6;Ctrl_B3;8,06048896256893e+01;Ctrl
IRX6;Ctrl_B4;1,03297545727023e+02;Ctrl
IRX6;Ctrl_B7;3,78477745271761e+01;Ctrl
IRX6;DM1_19;1,57189245452068e+01;DM1
IRX6;DM1_35;2,91093567788004e+01;DM1
IRX6;DM1_43;9,61329030973673e+00;DM1
IRX6;DM1_18;2,70944219230280e+01;DM1
IRX6;DM1_44;6,00665455141366e+01;DM1
IRX6;DM1_15;2,34774192558554e+01;DM1
IRX6;DM1_50;1,88759787731647e+01;DM1
IRX6;DM1_32;6,15995683326721e+00;DM1
IRX6;DM1_37;2,34952192767850e+01;DM1
IRX6;DM1_13;1,51824927632443e+01;DM1
IRX6;DM1_21;8,42750722942298e+00;DM1
IRX6;DM1_48;2,32253207874729e+01;DM1
IRX6;DM1_40;1,90986178599476e+01;DM1
IRX6;DM1_54;2,00179544955022e+01;DM1
IRX6;DM1_46;2,92276338583715e+01;DM1
IRX6;DM1_51;4,86259111293240e+01;DM1
IRX6;DM1_31;1,93544084894434e+01;DM1
IRX6;DM1_47;4,42273768789627e+01;DM1
IRX6;DM1_23;1,66325106376738e+01;DM1
IRX6;DM1_24;2,69761031695945e+01;DM1
IRX6;DM1_27;4,34622052246037e+01;DM1
NINJ2;DM1_41;2,33938133779062e+01;DM1
NINJ2;DM1_36;3,25736499855986e+01;DM1
NINJ2;DM1_53;2,18230401168233e+01;DM1
NINJ2;DM1_45;2,54510649380633e+01;DM1
NINJ2;DM1_17;9,35701975282691e+00;DM1
NINJ2;DM1_22;6,03437421840494e+01;DM1
NINJ2;DM1_39;1,86796777185665e+01;DM1
NINJ2;DM1_34;4,12557689256105e+01;DM1
NINJ2;DM1_25;4,41180222016219e+01;DM1
NINJ2;DM1_33;1,91051984682887e+01;DM1
NINJ2;DM1_26;1,37932760838568e+01;DM1
NINJ2;DM1_30;1,47147723769844e+01;DM1
NINJ2;DM1_52;3,70296609336410e+01;DM1
NINJ2;Ctrl_B2;7,03513603766029e+01;Ctrl
NINJ2;Ctrl_B8;2,40525433485641e+02;Ctrl
NINJ2;DM1_20;7,89784471585809e+01;DM1
NINJ2;DM1_14;2,75249739803879e+01;DM1
NINJ2;DM1_29;2,40208980464015e+01;DM1
NINJ2;DM1_42;3,45817983043509e+01;DM1
NINJ2;Ctrl_B10;6,78050133640736e+01;Ctrl
NINJ2;Ctrl_B6;1,74784844880205e+02;Ctrl
NINJ2;DM1_56;8,93438412803243e+01;DM1
NINJ2;Ctrl_B11;9,59121407297260e+01;Ctrl
NINJ2;DM1_28;5,98522006088310e+01;DM1
NINJ2;Ctrl_B5;1,38032889745455e+02;Ctrl
NINJ2;DM1_55;8,15386968856447e+01;DM1
NINJ2;Ctrl_B1;5,84054464631195e+01;Ctrl
NINJ2;DM1_16;3,83908400322382e+01;DM1
NINJ2;DM1_38;1,05202027793144e+02;DM1
NINJ2;Ctrl_B9;5,29977139966675e+01;Ctrl
NINJ2;Ctrl_B3;8,14273884994209e+01;Ctrl
NINJ2;Ctrl_B4;7,57154785433676e+01;Ctrl
NINJ2;Ctrl_B7;7,14902407735549e+01;Ctrl
NINJ2;DM1_19;1,17891934089051e+01;DM1
NINJ2;DM1_35;4,59621422823164e+01;DM1
NINJ2;DM1_43;1,41669541406647e+01;DM1
NINJ2;DM1_18;2,01023130396659e+01;DM1
NINJ2;DM1_44;3,64890229758774e+01;DM1
NINJ2;DM1_15;2,81729031070265e+01;DM1
NINJ2;DM1_50;1,74948095946405e+01;DM1
NINJ2;DM1_32;4,77396654578209e+01;DM1
NINJ2;DM1_37;8,49442543083766e+01;DM1
NINJ2;DM1_13;2,46202585349907e+01;DM1
NINJ2;DM1_21;2,02260173506152e+01;DM1
NINJ2;DM1_48;5,89565835374313e+01;DM1
NINJ2;DM1_40;2,48282032179318e+01;DM1
NINJ2;DM1_54;3,11390403263367e+01;DM1
NINJ2;DM1_46;5,84552677167429e+01;DM1
NINJ2;DM1_51;8,36365671424373e+01;DM1
NINJ2;DM1_31;2,02760469889407e+01;DM1
NINJ2;DM1_47;3,09591638152739e+01;DM1
NINJ2;DM1_23;2,11371489353772e+01;DM1
NINJ2;DM1_24;3,57148408160828e+01;DM1
NINJ2;DM1_27;3,51836899437268e+01;DM1
TDO2;DM1_41;3,93441406810240e+01;DM1
TDO2;DM1_36;8,59730761914978e+01;DM1
TDO2;DM1_53;2,89007828574146e+01;DM1
TDO2;DM1_45;1,28846016248946e+02;DM1
TDO2;DM1_17;2,96305625506186e+01;DM1
TDO2;DM1_22;4,57149562000374e+01;DM1
TDO2;DM1_39;3,02739604404354e+01;DM1
TDO2;DM1_34;4,96843668781546e+01;DM1
TDO2;DM1_25;1,53062526005627e+01;DM1
TDO2;DM1_33;2,62696478938969e+01;DM1
TDO2;DM1_26;4,54028671093620e+01;DM1
TDO2;DM1_30;1,11475548310488e+01;DM1
TDO2;DM1_52;6,73266562429837e+00;DM1
TDO2;Ctrl_B2;0,00000000000000e+00;Ctrl
TDO2;Ctrl_B8;0,00000000000000e+00;Ctrl
TDO2;DM1_20;5,70399896145307e+01;DM1
TDO2;DM1_14;7,24341420536523e+00;DM1
TDO2;DM1_29;1,74697440337465e+01;DM1
TDO2;DM1_42;3,66567062026119e+01;DM1
TDO2;Ctrl_B10;0,00000000000000e+00;Ctrl
TDO2;Ctrl_B6;0,00000000000000e+00;Ctrl
TDO2;DM1_56;1,71815079385239e+00;DM1
TDO2;Ctrl_B11;0,00000000000000e+00;Ctrl
TDO2;DM1_28;1,39655134753939e+01;DM1
TDO2;Ctrl_B5;4,25708912299067e+01;Ctrl
TDO2;DM1_55;5,55945660583941e+00;DM1
TDO2;Ctrl_B1;3,60527447303207e+00;Ctrl
TDO2;DM1_16;7,67816800644764e+00;DM1
TDO2;DM1_38;3,11709711979685e+01;DM1
TDO2;Ctrl_B9;3,78555099976196e+00;Ctrl
TDO2;Ctrl_B3;3,28999549492610e+00;Ctrl
TDO2;Ctrl_B4;6,48989816086008e+00;Ctrl
TDO2;Ctrl_B7;2,10265414039867e+00;Ctrl
TDO2;DM1_19;9,62784128393916e+01;DM1
TDO2;DM1_35;1,70059926444571e+02;DM1
TDO2;DM1_43;2,22623565067587e+01;DM1
TDO2;DM1_18;2,88424491438685e+01;DM1
TDO2;DM1_44;8,02758505469302e+01;DM1
TDO2;DM1_15;3,83464514512305e+02;DM1
TDO2;DM1_50;5,01824801530477e+01;DM1
TDO2;DM1_32;6,31395575409889e+01;DM1
TDO2;DM1_37;1,26512719182689e+02;DM1
TDO2;DM1_13;5,12922052812306e+01;DM1
TDO2;DM1_21;2,35970202423843e+01;DM1
TDO2;DM1_48;1,07193788249875e+01;DM1
TDO2;DM1_40;6,49353007238217e+01;DM1
TDO2;DM1_54;1,03796801087789e+01;DM1
TDO2;DM1_46;5,52955235158379e+00;DM1
TDO2;DM1_51;1,36152551162107e+01;DM1
TDO2;DM1_31;3,36398052316517e+01;DM1
TDO2;DM1_47;3,75932703471183e+01;DM1
TDO2;DM1_23;5,05905531895913e+01;DM1
TDO2;DM1_24;8,35879253142364e+00;DM1
TDO2;DM1_27;1,11759956291838e+02;DM1
TUBB1;DM1_41;2,23304582243650e+01;DM1
TUBB1;DM1_36;3,20396557235396e+01;DM1
TUBB1;DM1_53;7,66755463564061e+01;DM1
TUBB1;DM1_45;2,70417564966923e+01;DM1
TUBB1;DM1_17;3,43090724270320e+01;DM1
TUBB1;DM1_22;8,59441176560704e+01;DM1
TUBB1;DM1_39;6,69891890596869e+01;DM1
TUBB1;DM1_34;1,59699750679783e+01;DM1
TUBB1;DM1_25;6,75275850024825e+00;DM1
TUBB1;DM1_33;4,77629961707216e+00;DM1
TUBB1;DM1_26;2,52876728204042e+01;DM1
TUBB1;DM1_30;0,00000000000000e+00;DM1
TUBB1;DM1_52;1,29042757799052e+01;DM1
TUBB1;Ctrl_B2;6,90605097274910e+01;Ctrl
TUBB1;Ctrl_B8;4,32945780274154e+01;Ctrl
TUBB1;DM1_20;1,31630745264302e+01;DM1
TUBB1;DM1_14;5,79473136429218e+01;DM1
TUBB1;DM1_29;1,31023080253099e+01;DM1
TUBB1;DM1_42;7,60799562695719e+00;DM1
TUBB1;Ctrl_B10;1,12228987637087e+02;Ctrl
TUBB1;Ctrl_B6;7,26029355656236e+01;Ctrl
TUBB1;DM1_56;3,26448650831954e+01;DM1
TUBB1;Ctrl_B11;5,87217188141180e+00;Ctrl
TUBB1;DM1_28;3,19211736580432e+01;DM1
TUBB1;Ctrl_B5;7,99816744319459e+01;Ctrl
TUBB1;DM1_55;3,70630440389294e+00;DM1
TUBB1;Ctrl_B1;4,32632936763848e+01;Ctrl
TUBB1;DM1_16;1,24770230104774e+01;DM1
TUBB1;DM1_38;1,75336712988573e+01;DM1
TUBB1;Ctrl_B9;6,62471424958344e+01;Ctrl
TUBB1;Ctrl_B3;4,03024448128447e+01;Ctrl
TUBB1;Ctrl_B4;1,19522291129173e+02;Ctrl
TUBB1;Ctrl_B7;9,25167821775417e+01;Ctrl
TUBB1;DM1_19;2,35783868178102e+01;DM1
TUBB1;DM1_35;1,07244998658738e+01;DM1
TUBB1;DM1_43;3,94650865347087e+01;DM1
TUBB1;DM1_18;2,66574151178179e+01;DM1
TUBB1;DM1_44;7,29780459517547e+00;DM1
TUBB1;DM1_15;2,03470966884080e+01;DM1
TUBB1;DM1_50;6,90584589262124e+00;DM1
TUBB1;DM1_32;1,23199136665344e+01;DM1
TUBB1;DM1_37;1,08439473585162e+01;DM1
TUBB1;DM1_13;1,39514798364947e+01;DM1
TUBB1;DM1_21;3,37100289176919e+00;DM1
TUBB1;DM1_48;4,46640784374479e+01;DM1
TUBB1;DM1_40;1,33690325019633e+01;DM1
TUBB1;DM1_54;6,67265149850072e+00;DM1
TUBB1;DM1_46;8,05734771230781e+01;DM1
TUBB1;DM1_51;1,55602915613837e+01;DM1
TUBB1;DM1_31;2,48842394864273e+01;DM1
TUBB1;DM1_47;6,72256128560233e+01;DM1
TUBB1;DM1_23;2,94534042542141e+01;DM1
TUBB1;DM1_24;1,32980790272649e+01;DM1
TUBB1;DM1_27;2,06962882021922e+00;DM1
FCGR3B;DM1_41;2,65838788385297e+01;DM1
FCGR3B;DM1_36;1,86897991720647e+01;DM1
FCGR3B;DM1_53;5,66219419247307e+01;DM1
FCGR3B;DM1_45;9,54414935177375e+00;DM1
FCGR3B;DM1_17;1,55950329213782e+01;DM1
FCGR3B;DM1_22;1,09715894880090e+01;DM1
FCGR3B;DM1_39;3,92917358907779e+01;DM1
FCGR3B;DM1_34;1,10902604638738e+01;DM1
FCGR3B;DM1_25;5,85239070021515e+00;DM1
FCGR3B;DM1_33;0,00000000000000e+00;DM1
FCGR3B;DM1_26;1,49427157575116e+01;DM1
FCGR3B;DM1_30;1,33770657972585e+00;DM1
FCGR3B;DM1_52;3,36633281214918e+00;DM1
FCGR3B;Ctrl_B2;8,19690162186108e+01;Ctrl
FCGR3B;Ctrl_B8;4,81050866971283e+00;Ctrl
FCGR3B;DM1_20;1,09692287720251e+01;DM1
FCGR3B;DM1_14;7,33999306143676e+01;DM1
FCGR3B;DM1_29;2,18371800421831e+00;DM1
FCGR3B;DM1_42;1,38327193217403e+00;DM1
FCGR3B;Ctrl_B10;7,48193250913916e+01;Ctrl
FCGR3B;Ctrl_B6;2,95789737489578e+01;Ctrl
FCGR3B;DM1_56;3,09267142893430e+01;DM1
FCGR3B;Ctrl_B11;1,37017343899609e+01;Ctrl
FCGR3B;DM1_28;3,39162470116709e+01;DM1
FCGR3B;Ctrl_B5;2,25754726219202e+01;Ctrl
FCGR3B;DM1_55;1,11189132116788e+01;DM1
FCGR3B;Ctrl_B1;4,39843485709912e+01;Ctrl
FCGR3B;DM1_16;1,91954200161191e+00;DM1
FCGR3B;DM1_38;5,84455709961909e+00;DM1
FCGR3B;Ctrl_B9;2,64988569983337e+01;Ctrl
FCGR3B;Ctrl_B3;1,72724763483620e+01;Ctrl
FCGR3B;Ctrl_B4;6,43581567618625e+01;Ctrl
FCGR3B;Ctrl_B7;7,56955490543523e+01;Ctrl
FCGR3B;DM1_19;3,92973113630170e+00;DM1
FCGR3B;DM1_35;1,53207140941055e+00;DM1
FCGR3B;DM1_43;2,68160203376867e+01;DM1
FCGR3B;DM1_18;8,30312929899245e+00;DM1
FCGR3B;DM1_44;3,92958708970987e+00;DM1
FCGR3B;DM1_15;1,56516128372370e+01;DM1
FCGR3B;DM1_50;3,68311780939800e+00;DM1
FCGR3B;DM1_32;1,38599028748512e+01;DM1
FCGR3B;DM1_37;1,98805701572796e+01;DM1
FCGR3B;DM1_13;4,92405170699814e+00;DM1
FCGR3B;DM1_21;8,42750722942298e+00;DM1
FCGR3B;DM1_48;3,57312627499583e+01;DM1
FCGR3B;DM1_40;0,00000000000000e+00;DM1
FCGR3B;DM1_54;5,93124577644509e+00;DM1
FCGR3B;DM1_46;2,60678896574664e+01;DM1
FCGR3B;DM1_51;1,94503644517296e+00;DM1
FCGR3B;DM1_31;1,47462159919569e+01;DM1
FCGR3B;DM1_47;2,25559622082710e+01;DM1
FCGR3B;DM1_23;7,27672340398231e+00;DM1
FCGR3B;DM1_24;3,03956092051769e+00;DM1
FCGR3B;DM1_27;6,20888646065766e+00;DM1
TAGAP;DM1_41;4,62559491790417e+01;DM1
TAGAP;DM1_36;2,40297417926547e+01;DM1
TAGAP;DM1_53;4,83645753940408e+01;DM1
TAGAP;DM1_45;3,81765974070950e+01;DM1
TAGAP;DM1_17;1,55950329213782e+01;DM1
TAGAP;DM1_22;4,38863579520359e+01;DM1
TAGAP;DM1_39;3,99358627086595e+01;DM1
TAGAP;DM1_34;1,59699750679783e+01;DM1
TAGAP;DM1_25;1,71069882006289e+01;DM1
TAGAP;DM1_33;0,00000000000000e+00;DM1
TAGAP;DM1_26;3,62073497201242e+01;DM1
TAGAP;DM1_30;9,80984825132293e+00;DM1
TAGAP;DM1_52;1,90758859355120e+01;DM1
TAGAP;Ctrl_B2;6,38971071310430e+01;Ctrl
TAGAP;Ctrl_B8;4,08893236925590e+01;Ctrl
TAGAP;DM1_20;6,58153726321508e+00;DM1
TAGAP;DM1_14;7,82288734179444e+01;DM1
TAGAP;DM1_29;6,55115401265495e+00;DM1
TAGAP;DM1_42;2,69738026773937e+01;DM1
TAGAP;Ctrl_B10;3,74096625456958e+01;Ctrl
TAGAP;Ctrl_B6;5,37799522708323e+01;Ctrl
TAGAP;DM1_56;4,29537698463098e+01;DM1
TAGAP;Ctrl_B11;3,91478125427453e+01;Ctrl
TAGAP;DM1_28;3,59113203652986e+01;DM1
TAGAP;Ctrl_B5;5,48261477960919e+01;Ctrl
TAGAP;DM1_55;1,11189132116788e+01;DM1
TAGAP;Ctrl_B1;4,39843485709912e+01;Ctrl
TAGAP;DM1_16;2,20747330185370e+01;DM1
TAGAP;DM1_38;5,84455709961909e+00;DM1
TAGAP;Ctrl_B9;4,35338364972626e+01;Ctrl
TAGAP;Ctrl_B3;1,39824808534359e+01;Ctrl
TAGAP;Ctrl_B4;5,40824846738340e+01;Ctrl
TAGAP;Ctrl_B7;6,72849324927576e+01;Ctrl
TAGAP;DM1_19;1,37540589770559e+01;DM1
TAGAP;DM1_35;9,19242845646329e+00;DM1
TAGAP;DM1_43;3,69352732953043e+01;DM1
TAGAP;DM1_18;3,80195920532812e+01;DM1
TAGAP;DM1_44;2,47002617067477e+01;DM1
TAGAP;DM1_15;9,39096770234217e+00;DM1
TAGAP;DM1_50;1,24305226067182e+01;DM1
TAGAP;DM1_32;1,84798704998016e+01;DM1
TAGAP;DM1_37;1,44585964780215e+01;DM1
TAGAP;DM1_13;3,11856608109882e+01;DM1
TAGAP;DM1_21;2,86535245800381e+01;DM1
TAGAP;DM1_48;4,46640784374479e+01;DM1
TAGAP;DM1_40;1,71887560739528e+01;DM1
TAGAP;DM1_54;2,74320117160585e+01;DM1
TAGAP;DM1_46;2,05383373058826e+01;DM1
TAGAP;DM1_51;2,13954008969026e+01;DM1
TAGAP;DM1_31;3,08748897331597e+01;DM1
TAGAP;DM1_47;3,58241752719598e+01;DM1
TAGAP;DM1_23;2,73743404245049e+01;DM1
TAGAP;DM1_24;1,97571459833650e+01;DM1
TAGAP;DM1_27;1,44874017415346e+01;DM1
SLC14A2;DM1_41;3,24323321830063e+01;DM1
SLC14A2;DM1_36;1,05196869625622e+02;DM1
SLC14A2;DM1_53;1,02627269738574e+02;DM1
SLC14A2;DM1_45;1,11348409104027e+01;DM1
SLC14A2;DM1_17;3,89875823034455e+01;DM1
SLC14A2;DM1_22;1,09715894880090e+02;DM1
SLC14A2;DM1_39;5,08860186126468e+01;DM1
SLC14A2;DM1_34;2,97218980431818e+01;DM1
SLC14A2;DM1_25;3,87158154014233e+01;DM1
SLC14A2;DM1_33;4,05985467451134e+01;DM1
SLC14A2;DM1_26;9,77023722606525e+01;DM1
SLC14A2;DM1_30;8,65050254889385e+01;DM1
SLC14A2;DM1_52;4,99339367135462e+01;DM1
SLC14A2;Ctrl_B2;6,45425324555990e+00;Ctrl
SLC14A2;Ctrl_B8;2,40525433485641e+00;Ctrl
SLC14A2;DM1_20;1,97446117896452e+01;DM1
SLC14A2;DM1_14;3,23539167839647e+01;DM1
SLC14A2;DM1_29;1,74697440337465e+01;DM1
SLC14A2;DM1_42;3,25068904060898e+01;DM1
SLC14A2;Ctrl_B10;2,33810390910599e+00;Ctrl
SLC14A2;Ctrl_B6;5,37799522708323e+00;Ctrl
SLC14A2;DM1_56;0,00000000000000e+00;DM1
SLC14A2;Ctrl_B11;3,91478125427453e+00;Ctrl
SLC14A2;DM1_28;1,79556601826493e+01;DM1
SLC14A2;Ctrl_B5;9,67520255225152e+00;Ctrl
SLC14A2;DM1_55;7,41260880778588e+00;DM1
SLC14A2;Ctrl_B1;0,00000000000000e+00;Ctrl
SLC14A2;DM1_16;7,10230540596406e+01;DM1
SLC14A2;DM1_38;5,26010138965718e+01;DM1
SLC14A2;Ctrl_B9;5,67832649964295e+00;Ctrl
SLC14A2;Ctrl_B3;8,22498873731524e-01;Ctrl
SLC14A2;Ctrl_B4;1,62247454021502e+00;Ctrl
SLC14A2;Ctrl_B7;2,10265414039867e+00;Ctrl
SLC14A2;DM1_19;3,92973113630170e+01;DM1
SLC14A2;DM1_35;7,35394276517063e+01;DM1
SLC14A2;DM1_43;2,58040950419249e+01;DM1
SLC14A2;DM1_18;2,62204083126077e+01;DM1
SLC14A2;DM1_44;8,98191334790827e+00;DM1
SLC14A2;DM1_15;5,47806449303294e+01;DM1
SLC14A2;DM1_50;4,69597520698245e+01;DM1
SLC14A2;DM1_32;5,54396114994049e+01;DM1
SLC14A2;DM1_37;7,77149560693658e+01;DM1
SLC14A2;DM1_13;2,05168821124923e+01;DM1
SLC14A2;DM1_21;4,04520347012303e+01;DM1
SLC14A2;DM1_48;5,35968941249375e+01;DM1
SLC14A2;DM1_40;9,93128128717273e+01;DM1
SLC14A2;DM1_54;8,22960351481756e+01;DM1
SLC14A2;DM1_46;5,84552677167429e+01;DM1
SLC14A2;DM1_51;3,30656195679403e+01;DM1
SLC14A2;DM1_31;1,65894929909515e+01;DM1
SLC14A2;DM1_47;5,17460309483864e+01;DM1
SLC14A2;DM1_23;4,98975319130215e+01;DM1
SLC14A2;DM1_24;6,76302304815186e+01;DM1
SLC14A2;DM1_27;1,03481441010961e+01;DM1
COL25A1;DM1_41;5,36994352538300e+01;DM1
COL25A1;DM1_36;2,77677016270676e+01;DM1
COL25A1;DM1_53;2,94905947524639e+01;DM1
COL25A1;DM1_45;6,83997370210452e+01;DM1
COL25A1;DM1_17;4,05470855955833e+01;DM1
COL25A1;DM1_22;6,21723404320509e+01;DM1
COL25A1;DM1_39;2,19003118079746e+01;DM1
COL25A1;DM1_34;3,77068855771709e+01;DM1
COL25A1;DM1_25;4,54685739016716e+01;DM1
COL25A1;DM1_33;3,34340973195051e+01;DM1
COL25A1;DM1_26;5,45983844985999e+01;DM1
COL25A1;DM1_30;4,05770995850176e+01;DM1
COL25A1;DM1_52;2,91748843719596e+01;DM1
COL25A1;Ctrl_B2;1,93627597366797e+00;Ctrl
COL25A1;Ctrl_B8;2,40525433485641e+00;Ctrl
COL25A1;DM1_20;2,19384575440503e+01;DM1
COL25A1;DM1_14;2,65591854196725e+01;DM1
COL25A1;DM1_29;1,74697440337465e+01;DM1
COL25A1;DM1_42;1,79825351182625e+01;DM1
COL25A1;Ctrl_B10;7,01431172731796e+00;Ctrl
COL25A1;Ctrl_B6;8,06699284062484e+00;Ctrl
COL25A1;DM1_56;5,15445238155717e+00;DM1
COL25A1;Ctrl_B11;1,95739062713727e+01;Ctrl
COL25A1;DM1_28;1,39655134753939e+01;DM1
COL25A1;Ctrl_B5;2,38654996288871e+01;Ctrl
COL25A1;DM1_55;4,07693484428224e+01;DM1
COL25A1;Ctrl_B1;2,88421957842565e+00;Ctrl
COL25A1;DM1_16;4,75086645398947e+01;DM1
COL25A1;DM1_38;2,33782283984764e+01;DM1
COL25A1;Ctrl_B9;2,08205304986908e+01;Ctrl
COL25A1;Ctrl_B3;1,31599819797044e+01;Ctrl
COL25A1;Ctrl_B4;1,02756720880285e+01;Ctrl
COL25A1;Ctrl_B7;1,26159248423920e+01;Ctrl
COL25A1;DM1_19;2,35783868178102e+01;DM1
COL25A1;DM1_35;7,35394276517063e+01;DM1
COL25A1;DM1_43;4,40187503656366e+01;DM1
COL25A1;DM1_18;4,50117009366433e+01;DM1
COL25A1;DM1_44;3,14366967176790e+01;DM1
COL25A1;DM1_15;7,04322577675663e+01;DM1
COL25A1;DM1_50;9,43798938658237e+01;DM1
COL25A1;DM1_32;5,08196438744545e+01;DM1
COL25A1;DM1_37;9,75955262266454e+01;DM1
COL25A1;DM1_13;1,23101292674954e+01;DM1
COL25A1;DM1_21;7,92185679565760e+01;DM1
COL25A1;DM1_48;3,39446996124604e+01;DM1
COL25A1;DM1_40;6,30254389378269e+01;DM1
COL25A1;DM1_54;2,52077945498916e+01;DM1
COL25A1;DM1_46;3,23873780592765e+01;DM1
COL25A1;DM1_51;5,83510933551888e+01;DM1
COL25A1;DM1_31;6,12889602165708e+01;DM1
COL25A1;DM1_47;7,87247308445536e+01;DM1
COL25A1;DM1_23;1,01181106379183e+02;DM1
COL25A1;DM1_24;9,08068825004659e+01;DM1
COL25A1;DM1_27;8,69244104492073e+01;DM1
SLC27A6;DM1_41;6,27379540589301e+01;DM1
SLC27A6;DM1_36;5,33994262058993e+01;DM1
SLC27A6;DM1_53;2,77211590673161e+01;DM1
SLC27A6;DM1_45;2,70417564966923e+01;DM1
SLC27A6;DM1_17;4,05470855955833e+01;DM1
SLC27A6;DM1_22;1,00572903640082e+02;DM1
SLC27A6;DM1_39;4,12241163444227e+01;DM1
SLC27A6;DM1_34;3,99249376699457e+01;DM1
SLC27A6;DM1_25;3,78154476013902e+01;DM1
SLC27A6;DM1_33;1,19407490426804e+01;DM1
SLC27A6;DM1_26;3,50579100464694e+01;DM1
SLC27A6;DM1_30;4,63738280971629e+01;DM1
SLC27A6;DM1_52;4,09570492144817e+01;DM1
SLC27A6;Ctrl_B2;9,68137986833985e+00;Ctrl
SLC27A6;Ctrl_B8;2,40525433485641e+00;Ctrl
SLC27A6;DM1_20;4,38769150881005e+00;DM1
SLC27A6;DM1_14;2,99394453821763e+01;DM1
SLC27A6;DM1_29;3,05720520590564e+01;DM1
SLC27A6;DM1_42;2,00574430165235e+01;DM1
SLC27A6;Ctrl_B10;1,63667273637419e+01;Ctrl
SLC27A6;Ctrl_B6;2,42009785218745e+01;Ctrl
SLC27A6;DM1_56;2,23359603200811e+01;DM1
SLC27A6;Ctrl_B11;1,37017343899609e+01;Ctrl
SLC27A6;DM1_28;2,99261003044155e+01;DM1
SLC27A6;Ctrl_B5;5,16010802786747e+00;Ctrl
SLC27A6;DM1_55;2,03846742214112e+01;DM1
SLC27A6;Ctrl_B1;5,04738426224489e+00;Ctrl
SLC27A6;DM1_16;3,74310690314322e+01;DM1
SLC27A6;DM1_38;2,92227854980955e+01;DM1
SLC27A6;Ctrl_B9;1,13566529992859e+01;Ctrl
