Genes;samples;counts;condition
MYH8;DM1_51;1,99171731985711e+03;DM1
MYH8;DM1_31;1,27739096030327e+03;DM1
MYH8;DM1_47;2,19146652435260e+03;DM1
MYH8;DM1_23;9,81837893580184e+03;DM1
MYH8;DM1_24;5,43511487100069e+03;DM1
MYH8;DM1_27;6,32685530341016e+03;DM1
SLC38A1;DM1_41;5,39121062845383e+02;DM1
SLC38A1;DM1_36;3,13988626090688e+02;DM1
SLC38A1;DM1_53;3,47989018079074e+02;DM1
SLC38A1;DM1_45;9,92591532584470e+02;DM1
SLC38A1;DM1_17;9,48178001619794e+02;DM1
SLC38A1;DM1_22;2,98061514424244e+02;DM1
SLC38A1;DM1_39;6,08699842898117e+02;DM1
SLC38A1;DM1_34;5,23903904313398e+02;DM1
SLC38A1;DM1_25;1,11960735934116e+03;DM1
SLC38A1;DM1_33;1,09377261230953e+03;DM1
SLC38A1;DM1_26;2,14945218973436e+02;DM1
SLC38A1;DM1_30;4,12013626555563e+02;DM1
SLC38A1;DM1_52;8,16896762414869e+02;DM1
SLC38A1;Ctrl_B2;1,29214149976109e+03;Ctrl
SLC38A1;Ctrl_B8;3,34811403412013e+03;Ctrl
SLC38A1;DM1_20;1,93935964689404e+03;DM1
SLC38A1;DM1_14;1,93640606423430e+03;DM1
SLC38A1;DM1_29;1,81466966150542e+03;DM1
SLC38A1;DM1_42;1,52090748942535e+03;DM1
SLC38A1;Ctrl_B10;9,79665537915409e+02;Ctrl
SLC38A1;Ctrl_B6;1,20735992848018e+03;Ctrl
SLC38A1;DM1_56;1,41747440492822e+03;DM1
SLC38A1;Ctrl_B11;1,10984048558683e+03;Ctrl
SLC38A1;DM1_28;1,33470407357693e+03;DM1
SLC38A1;Ctrl_B5;2,30914834247070e+03;Ctrl
SLC38A1;DM1_55;2,24972677316302e+03;DM1
SLC38A1;Ctrl_B1;7,35980730924766e+03;Ctrl
SLC38A1;DM1_16;2,97097113299483e+03;DM1
SLC38A1;DM1_38;4,18275469762740e+03;DM1
SLC38A1;Ctrl_B9;3,99754185574863e+03;Ctrl
SLC38A1;Ctrl_B3;5,18421040112980e+03;Ctrl
SLC38A1;Ctrl_B4;4,66515512796492e+03;Ctrl
SLC38A1;Ctrl_B7;4,30623567953649e+03;Ctrl
SLC38A1;DM1_19;6,97527276693552e+02;DM1
SLC38A1;DM1_35;5,22436350608997e+02;DM1
SLC38A1;DM1_43;5,39862145288900e+02;DM1
SLC38A1;DM1_18;4,42687893677861e+02;DM1
SLC38A1;DM1_44;3,96888296060697e+02;DM1
SLC38A1;DM1_15;4,69548385117109e+02;DM1
SLC38A1;DM1_50;3,68311780939800e+02;DM1
SLC38A1;DM1_32;4,60456773286724e+02;DM1
SLC38A1;DM1_37;5,31353420567292e+02;DM1
SLC38A1;DM1_13;9,45007590101393e+02;DM1
SLC38A1;DM1_21;5,91611007505493e+02;DM1
SLC38A1;DM1_48;4,23415463587006e+02;DM1
SLC38A1;DM1_40;1,37128076234423e+03;DM1
SLC38A1;DM1_54;1,32192640242520e+03;DM1
